,slide,dataset,uid,x,y,expert1_label,expert2_label,expert1_atypical,expert2_atypical,expert3_atypical,majority_atypical
951,094.tiff,MIDOG21,2614,2191,4399,NMF prometaphase,NMF prometaphase,False,False,False,False
952,094.tiff,MIDOG21,2617,3118,4635,NMF prometaphase,NMF metaphase,False,False,False,False
953,094.tiff,MIDOG21,2619,3863,4400,NMF prometaphase,NMF prometaphase,False,False,False,False
954,094.tiff,MIDOG21,2622,4763,4388,NMF prometaphase,NMF prometaphase,False,False,False,False
955,094.tiff,MIDOG21,2626,5804,4209,NMF prometaphase,NMF prometaphase,False,False,False,False
956,094.tiff,MIDOG21,2629,5272,3918,NMF prometaphase,NMF ring shape,False,False,False,False
957,094.tiff,MIDOG21,2630,5142,3969,NMF prometaphase,NMF prometaphase,False,False,False,False
958,094.tiff,MIDOG21,2637,1611,4995,NMF prometaphase,NMF ring shape,False,False,False,False
959,094.tiff,MIDOG21,2642,3959,5051,NMF metaphase,NMF metaphase,False,False,False,False
960,094.tiff,MIDOG21,2643,5018,5028,NMF prometaphase,NMF prometaphase,False,False,False,False
961,094.tiff,MIDOG21,2644,5184,5048,NMF prometaphase,NMF prometaphase,False,False,True,False
962,094.tiff,MIDOG21,2645,5378,4825,NMF prometaphase,NMF prometaphase,False,False,False,False
963,094.tiff,MIDOG21,2646,5443,4759,NMF prometaphase,NMF prometaphase,False,False,False,False
964,094.tiff,MIDOG21,2650,1665,579,NMF prometaphase,NMF prometaphase,False,False,False,False
965,094.tiff,MIDOG21,2651,4157,2553,NMF metaphase,AMF other,False,True,True,True
966,094.tiff,MIDOG21,2652,6160,2134,NMF metaphase,NMF metaphase,False,False,False,False
967,094.tiff,MIDOG21,2655,3326,3053,AMF other,AMF multipolar,True,True,True,True
968,095.tiff,MIDOG21,2669,1916,4475,NMF metaphase,NMF metaphase,False,False,False,False
969,096.tiff,MIDOG21,2673,1380,1046,NMF metaphase,NMF metaphase,False,False,False,False
970,096.tiff,MIDOG21,2676,3237,2388,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
971,096.tiff,MIDOG21,2677,3699,2867,NMF metaphase,NMF metaphase,False,False,False,False
972,096.tiff,MIDOG21,2678,324,3648,NMF prometaphase,NMF metaphase,False,False,False,False
973,096.tiff,MIDOG21,2682,721,4328,NMF metaphase,NMF metaphase,False,False,False,False
974,096.tiff,MIDOG21,2687,2972,5158,NMF prometaphase,NMF prometaphase,False,False,False,False
975,097.tiff,MIDOG21,2692,5797,372,AMF other,AMF other,True,True,True,True
976,097.tiff,MIDOG21,2697,6536,5190,AMF other,AMF other,True,True,True,True
977,097.tiff,MIDOG21,2698,6659,4942,NMF prometaphase,AMF segregation,False,True,True,True
978,098.tiff,MIDOG21,2704,4048,2815,NMF metaphase,NMF metaphase,False,False,False,False
979,098.tiff,MIDOG21,2708,329,3536,NMF prometaphase,AMF segregation,False,True,True,True
980,098.tiff,MIDOG21,2710,6568,3685,NMF metaphase,NMF metaphase,False,False,False,False
981,098.tiff,MIDOG21,2711,6667,3664,NMF metaphase,NMF metaphase,False,False,False,False
982,098.tiff,MIDOG21,2712,5369,3961,NMF prometaphase,NMF prometaphase,False,False,False,False
983,098.tiff,MIDOG21,2714,6669,4306,NMF prometaphase,NMF ring shape,False,False,False,False
984,098.tiff,MIDOG21,2716,4595,4775,NMF metaphase,NMF metaphase,False,False,False,False
985,098.tiff,MIDOG21,2717,4735,2934,AMF segregation,AMF segregation,True,True,True,True
986,098.tiff,MIDOG21,2718,5290,4259,NMF prometaphase,NMF prometaphase,False,False,True,False
987,099.tiff,MIDOG21,2731,3104,2989,NMF prometaphase,AMF segregation,False,True,True,True
988,099.tiff,MIDOG21,2736,3658,2005,NMF prometaphase,NMF metaphase,False,False,False,False
989,100.tiff,MIDOG21,2740,2579,531,NMF metaphase,NMF metaphase,False,False,False,False
990,100.tiff,MIDOG21,2745,3889,729,NMF metaphase,NMF metaphase,False,False,False,False
991,100.tiff,MIDOG21,2747,230,1386,NMF prometaphase,NMF anaphase-telophase,False,False,False,False
992,100.tiff,MIDOG21,2748,179,1377,NMF metaphase,NMF anaphase-telophase,False,False,False,False
993,100.tiff,MIDOG21,2749,63,918,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
994,100.tiff,MIDOG21,2752,2277,1670,AMF other,NMF metaphase,True,False,True,True
995,100.tiff,MIDOG21,2753,2784,1755,NMF metaphase,NMF metaphase,False,False,False,False
996,100.tiff,MIDOG21,2754,2343,1601,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
997,100.tiff,MIDOG21,2757,148,1635,NMF prometaphase,NMF ring shape,False,False,False,False
998,100.tiff,MIDOG21,2758,47,2216,NMF metaphase,NMF metaphase,False,False,False,False
999,100.tiff,MIDOG21,2759,492,2048,NMF prometaphase,NMF metaphase,False,False,False,False
1000,100.tiff,MIDOG21,2760,1076,1836,AMF other,AMF segregation,True,True,True,True
1001,100.tiff,MIDOG21,2761,1253,1715,NMF prometaphase,AMF other,False,True,True,True
1002,100.tiff,MIDOG21,2762,1176,1636,NMF prometaphase,NMF metaphase,False,False,True,False
1003,100.tiff,MIDOG21,2766,2308,1782,NMF prometaphase,NMF prometaphase,False,False,False,False
1004,100.tiff,MIDOG21,2767,3092,2049,NMF metaphase,NMF metaphase,False,False,False,False
1005,100.tiff,MIDOG21,2768,5524,2327,NMF prometaphase,AMF other,False,True,True,True
1006,100.tiff,MIDOG21,2769,581,2767,NMF prometaphase,AMF other,False,True,True,True
1007,100.tiff,MIDOG21,2770,607,2982,NMF metaphase,NMF metaphase,False,False,False,False
1008,100.tiff,MIDOG21,2771,1334,2563,NMF metaphase,NMF metaphase,False,False,False,False
1009,100.tiff,MIDOG21,2772,2007,2540,NMF prometaphase,AMF other,False,True,True,True
1010,100.tiff,MIDOG21,2773,1683,2687,NMF prometaphase,NMF metaphase,False,False,False,False
1011,100.tiff,MIDOG21,2774,2593,2683,NMF metaphase,NMF metaphase,False,False,True,False
1012,100.tiff,MIDOG21,2775,2953,2570,NMF prometaphase,NMF prometaphase,False,False,False,False
1013,100.tiff,MIDOG21,2776,3356,2614,NMF prometaphase,AMF other,False,True,True,True
1014,100.tiff,MIDOG21,2777,3577,3086,NMF metaphase,NMF metaphase,False,False,True,False
1015,100.tiff,MIDOG21,2778,3912,2819,NMF prometaphase,NMF prometaphase,False,False,False,False
1016,100.tiff,MIDOG21,2783,563,3663,NMF ring shape,NMF ring shape,False,False,False,False
1017,100.tiff,MIDOG21,2785,1101,3470,NMF metaphase,NMF metaphase,False,False,False,False
1018,100.tiff,MIDOG21,2786,1063,3231,NMF prometaphase,NMF ring shape,False,False,False,False
1019,100.tiff,MIDOG21,2789,1575,3315,AMF other,AMF other,True,True,True,True
1020,100.tiff,MIDOG21,2790,3186,3519,NMF prometaphase,NMF metaphase,False,False,True,False
1021,100.tiff,MIDOG21,2792,6337,3797,NMF prometaphase,AMF other,False,True,True,True
1022,100.tiff,MIDOG21,2793,6657,3299,NMF metaphase,NMF metaphase,False,False,False,False
1023,100.tiff,MIDOG21,2794,6818,3237,NMF metaphase,NMF metaphase,False,False,False,False
1024,100.tiff,MIDOG21,2799,1727,4218,NMF prometaphase,NMF prometaphase,False,False,False,False
1025,100.tiff,MIDOG21,2800,1977,4217,NMF metaphase,NMF metaphase,False,False,True,False
1026,100.tiff,MIDOG21,2801,2162,4118,AMF other,AMF segregation,True,True,True,True
1027,100.tiff,MIDOG21,2803,2839,4369,NMF metaphase,NMF metaphase,False,False,True,False
1028,100.tiff,MIDOG21,2809,6661,4353,NMF metaphase,AMF segregation,False,True,True,True
1029,100.tiff,MIDOG21,2813,6901,5071,NMF prometaphase,NMF prometaphase,False,False,True,False
1030,100.tiff,MIDOG21,2814,6130,4854,NMF prometaphase,NMF prometaphase,False,False,False,False
1031,100.tiff,MIDOG21,2816,2038,3981,NMF prometaphase,AMF segregation,False,True,False,False
1032,100.tiff,MIDOG21,2818,60,3023,NMF metaphase,NMF metaphase,False,False,False,False
1033,101.tiff,MIDOG21,2827,3705,272,NMF prometaphase,NMF ring shape,False,False,False,False
1034,101.tiff,MIDOG21,2829,4959,1319,NMF anaphase-telophase,AMF segregation,False,True,True,True
1035,101.tiff,MIDOG21,2831,5682,2092,NMF metaphase,NMF metaphase,False,False,False,False
1036,101.tiff,MIDOG21,2834,624,4756,NMF prometaphase,NMF prometaphase,False,False,False,False
1037,101.tiff,MIDOG21,2835,1536,4691,NMF metaphase,NMF metaphase,False,False,False,False
1038,102.tiff,MIDOG21,2836,2850,631,NMF metaphase,NMF metaphase,False,False,False,False
1039,102.tiff,MIDOG21,2839,1866,733,NMF prometaphase,NMF metaphase,False,False,False,False
1040,102.tiff,MIDOG21,2840,1356,290,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1041,102.tiff,MIDOG21,2841,981,289,NMF prometaphase,NMF prometaphase,False,False,False,False
1042,102.tiff,MIDOG21,2843,3771,64,NMF prometaphase,NMF prometaphase,False,False,False,False
1043,102.tiff,MIDOG21,2845,5038,364,NMF prometaphase,NMF prometaphase,False,False,False,False
1044,102.tiff,MIDOG21,2847,5439,509,NMF metaphase,NMF metaphase,False,False,False,False
1045,102.tiff,MIDOG21,2855,920,2155,NMF prometaphase,NMF prometaphase,False,False,False,False
1046,102.tiff,MIDOG21,2856,1234,2200,NMF prometaphase,NMF prometaphase,False,False,False,False
1047,102.tiff,MIDOG21,2860,4122,2178,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1048,102.tiff,MIDOG21,2862,3544,2378,AMF other,AMF other,True,True,True,True
1049,102.tiff,MIDOG21,2863,3357,2512,AMF other,AMF other,True,True,True,True
1050,102.tiff,MIDOG21,2865,1467,3242,AMF segregation,AMF segregation,True,True,True,True
1051,102.tiff,MIDOG21,2870,4286,3057,AMF segregation,AMF segregation,True,True,True,True
1052,102.tiff,MIDOG21,2872,5949,2558,AMF other,AMF other,True,True,True,True
1053,102.tiff,MIDOG21,2874,795,3624,NMF prometaphase,NMF prometaphase,False,False,False,False
1054,102.tiff,MIDOG21,2875,1166,3734,NMF prometaphase,NMF prometaphase,False,False,False,False
1055,102.tiff,MIDOG21,2877,2204,3788,NMF prometaphase,NMF ring shape,False,False,False,False
1056,102.tiff,MIDOG21,2880,3637,3129,AMF segregation,AMF segregation,True,True,True,True
1057,102.tiff,MIDOG21,2882,2306,4370,NMF prometaphase,NMF prometaphase,False,False,False,False
1058,102.tiff,MIDOG21,2883,2249,4426,NMF prometaphase,NMF prometaphase,False,False,False,False
1059,102.tiff,MIDOG21,2886,5791,4785,NMF metaphase,NMF metaphase,False,False,False,False
1060,103.tiff,MIDOG21,2890,2109,657,NMF metaphase,NMF metaphase,False,False,False,False
1061,103.tiff,MIDOG21,2892,1341,786,NMF metaphase,NMF metaphase,False,False,False,False
1062,103.tiff,MIDOG21,2900,1862,1607,NMF metaphase,NMF metaphase,False,False,False,False
1063,103.tiff,MIDOG21,2902,5864,2614,NMF prometaphase,NMF prometaphase,False,False,False,False
1064,103.tiff,MIDOG21,2905,6396,3178,NMF prometaphase,NMF prometaphase,False,False,False,False
1065,103.tiff,MIDOG21,2906,1462,4398,NMF prometaphase,NMF prometaphase,False,False,False,False
1066,103.tiff,MIDOG21,2907,3448,3957,NMF prometaphase,NMF prometaphase,False,False,False,False
1067,104.tiff,MIDOG21,2910,3781,613,AMF multipolar,AMF multipolar,True,True,True,True
1068,104.tiff,MIDOG21,2917,2361,3238,NMF metaphase,NMF metaphase,False,False,False,False
1069,104.tiff,MIDOG21,2918,2234,4665,NMF prometaphase,AMF other,False,True,True,True
1070,104.tiff,MIDOG21,2919,5491,4774,NMF prometaphase,NMF anaphase-telophase,False,False,False,False
1071,105.tiff,MIDOG21,2923,4612,1461,NMF metaphase,AMF segregation,False,True,False,False
1072,105.tiff,MIDOG21,2925,3968,2324,NMF metaphase,NMF metaphase,False,False,False,False
1073,106.tiff,MIDOG21,2929,5432,833,NMF prometaphase,NMF metaphase,False,False,False,False
1074,106.tiff,MIDOG21,2931,1333,1332,NMF metaphase,NMF metaphase,False,False,False,False
1075,106.tiff,MIDOG21,2932,1385,904,NMF metaphase,NMF metaphase,False,False,False,False
1076,106.tiff,MIDOG21,2933,1669,1409,NMF anaphase-telophase,AMF bipolar assymetric,False,True,True,True
1077,106.tiff,MIDOG21,2934,1676,1449,NMF anaphase-telophase,AMF bipolar assymetric,False,True,False,False
1078,106.tiff,MIDOG21,2935,2304,1005,NMF prometaphase,NMF metaphase,False,False,False,False
1079,106.tiff,MIDOG21,2936,6298,946,NMF metaphase,NMF metaphase,False,False,False,False
1080,106.tiff,MIDOG21,2937,1384,1703,NMF metaphase,NMF prometaphase,False,False,False,False
1081,106.tiff,MIDOG21,2938,1517,1931,NMF prometaphase,NMF prometaphase,False,False,False,False
1082,106.tiff,MIDOG21,2939,413,2291,NMF prometaphase,NMF prometaphase,False,False,False,False
1083,106.tiff,MIDOG21,2942,3573,2417,NMF prometaphase,NMF prometaphase,False,False,False,False
1084,106.tiff,MIDOG21,2943,3921,2204,NMF prometaphase,NMF metaphase,False,False,False,False
1085,106.tiff,MIDOG21,2944,5473,1583,NMF metaphase,NMF metaphase,False,False,False,False
1086,106.tiff,MIDOG21,2946,4233,2896,NMF metaphase,NMF metaphase,False,False,False,False
1087,106.tiff,MIDOG21,2947,5455,2497,NMF prometaphase,NMF prometaphase,False,False,True,False
1088,106.tiff,MIDOG21,2948,5982,3057,NMF prometaphase,NMF prometaphase,False,False,False,False
1089,106.tiff,MIDOG21,2949,6050,2718,NMF metaphase,NMF metaphase,False,False,False,False
1090,106.tiff,MIDOG21,2951,470,3371,NMF metaphase,NMF metaphase,False,False,False,False
1091,106.tiff,MIDOG21,2955,3999,3538,NMF prometaphase,NMF prometaphase,False,False,False,False
1092,106.tiff,MIDOG21,2956,495,4047,NMF prometaphase,NMF prometaphase,False,False,False,False
1093,106.tiff,MIDOG21,2957,1243,3979,NMF metaphase,NMF metaphase,False,False,False,False
1094,106.tiff,MIDOG21,2958,4548,4509,NMF prometaphase,NMF metaphase,False,False,False,False
1095,106.tiff,MIDOG21,2959,4594,4624,NMF metaphase,NMF metaphase,False,False,False,False
1096,106.tiff,MIDOG21,2960,5241,4698,NMF prometaphase,NMF prometaphase,False,False,False,False
1097,106.tiff,MIDOG21,2965,1087,4631,NMF prometaphase,NMF prometaphase,False,False,False,False
1098,106.tiff,MIDOG21,2969,3007,562,NMF prometaphase,NMF prometaphase,False,False,False,False
1099,107.tiff,MIDOG21,2978,1567,640,NMF prometaphase,NMF ring shape,False,False,False,False
1100,107.tiff,MIDOG21,2979,2968,691,NMF prometaphase,NMF ring shape,False,False,False,False
1101,107.tiff,MIDOG21,2984,181,178,NMF prometaphase,AMF segregation,False,True,True,True
1102,107.tiff,MIDOG21,2986,2719,1134,NMF metaphase,NMF metaphase,False,False,False,False
1103,107.tiff,MIDOG21,2987,3777,137,AMF segregation,AMF other,True,True,True,True
1104,107.tiff,MIDOG21,2989,4574,413,NMF metaphase,NMF metaphase,False,False,False,False
1105,107.tiff,MIDOG21,2990,4947,864,NMF prometaphase,AMF segregation,False,True,False,False
1106,107.tiff,MIDOG21,2993,1816,1920,NMF metaphase,NMF metaphase,False,False,False,False
1107,107.tiff,MIDOG21,2996,2367,2756,NMF metaphase,NMF metaphase,False,False,False,False
1108,107.tiff,MIDOG21,2998,3545,2853,AMF segregation,NMF anaphase-telophase,True,False,True,True
1109,107.tiff,MIDOG21,3000,3299,2494,AMF other,NMF metaphase,True,False,True,True
1110,107.tiff,MIDOG21,3003,4634,3013,NMF prometaphase,NMF ring shape,False,False,False,False
1111,107.tiff,MIDOG21,3005,3215,3786,NMF prometaphase,NMF ring shape,False,False,False,False
1112,107.tiff,MIDOG21,3006,3522,3370,NMF prometaphase,NMF metaphase,False,False,False,False
1113,107.tiff,MIDOG21,3008,2435,4258,NMF prometaphase,AMF segregation,False,True,True,True
1114,107.tiff,MIDOG21,3010,5401,4161,NMF metaphase,NMF metaphase,False,False,False,False
1115,107.tiff,MIDOG21,3012,4835,4186,NMF metaphase,NMF metaphase,False,False,False,False
1116,108.tiff,MIDOG21,3019,3052,762,NMF metaphase,NMF metaphase,False,False,False,False
1117,108.tiff,MIDOG21,3023,1084,1498,NMF metaphase,NMF metaphase,False,False,False,False
1118,108.tiff,MIDOG21,3024,2216,1410,NMF anaphase-telophase,NMF metaphase,False,False,False,False
1119,108.tiff,MIDOG21,3025,2572,1286,NMF prometaphase,NMF prometaphase,False,False,False,False
1120,108.tiff,MIDOG21,3032,2624,2236,NMF metaphase,NMF metaphase,False,False,False,False
1121,108.tiff,MIDOG21,3034,1104,2589,NMF prometaphase,NMF prometaphase,False,False,False,False
1122,108.tiff,MIDOG21,3036,4597,2468,NMF prometaphase,NMF metaphase,False,False,False,False
1123,108.tiff,MIDOG21,3037,5284,2730,NMF prometaphase,AMF other,False,True,True,True
1124,108.tiff,MIDOG21,3042,3675,3309,NMF metaphase,AMF segregation,False,True,False,False
1125,108.tiff,MIDOG21,3045,1327,4026,NMF prometaphase,NMF prometaphase,False,False,False,False
1126,108.tiff,MIDOG21,3047,3090,3712,NMF prometaphase,NMF metaphase,False,False,False,False
1127,108.tiff,MIDOG21,3051,4333,3369,NMF prometaphase,NMF prometaphase,False,False,False,False
1128,109.tiff,MIDOG21,3056,1904,212,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
1129,109.tiff,MIDOG21,3057,2226,657,AMF other,AMF other,True,True,True,True
1130,109.tiff,MIDOG21,3069,620,1812,NMF prometaphase,NMF prometaphase,False,False,False,False
1131,109.tiff,MIDOG21,3071,5049,2338,NMF prometaphase,NMF ring shape,False,False,False,False
1132,109.tiff,MIDOG21,3077,3123,3497,NMF metaphase,AMF other,False,True,True,True
1133,109.tiff,MIDOG21,3078,1521,4265,AMF other,NMF metaphase,True,False,True,True
1134,110.tiff,MIDOG21,3082,1372,312,NMF prometaphase,NMF prometaphase,False,False,False,False
1135,110.tiff,MIDOG21,3087,2251,1791,NMF metaphase,NMF metaphase,False,False,False,False
1136,110.tiff,MIDOG21,3093,1276,3804,AMF other,AMF other,True,True,True,True
1137,110.tiff,MIDOG21,3096,4765,3813,NMF metaphase,NMF metaphase,False,False,False,False
1138,111.tiff,MIDOG21,3099,3439,1178,AMF other,AMF segregation,True,True,True,True
1139,111.tiff,MIDOG21,3105,3192,4105,NMF metaphase,NMF metaphase,False,False,False,False
1140,112.tiff,MIDOG21,3109,2015,220,NMF metaphase,NMF metaphase,False,False,False,False
1141,112.tiff,MIDOG21,3110,2900,684,NMF metaphase,NMF metaphase,False,False,False,False
1142,112.tiff,MIDOG21,3113,1316,181,NMF prometaphase,NMF metaphase,False,False,False,False
1143,112.tiff,MIDOG21,3117,4569,467,NMF prometaphase,NMF metaphase,False,False,False,False
1144,112.tiff,MIDOG21,3118,4715,667,NMF prometaphase,NMF prometaphase,False,False,False,False
1145,112.tiff,MIDOG21,3121,1490,1266,NMF prometaphase,NMF ring shape,False,False,False,False
1146,112.tiff,MIDOG21,3123,2240,1025,NMF prometaphase,NMF prometaphase,False,False,False,False
1147,112.tiff,MIDOG21,3124,2817,1346,NMF prometaphase,NMF prometaphase,False,False,False,False
1148,112.tiff,MIDOG21,3128,4086,1392,NMF prometaphase,AMF other,False,True,True,True
1149,112.tiff,MIDOG21,3129,3269,850,NMF prometaphase,NMF prometaphase,False,False,True,False
1150,112.tiff,MIDOG21,3130,5088,1118,NMF metaphase,NMF metaphase,False,False,False,False
1151,112.tiff,MIDOG21,3131,5265,1258,NMF anaphase-telophase,AMF bipolar assymetric,False,True,True,True
1152,112.tiff,MIDOG21,3135,6382,1226,NMF metaphase,NMF metaphase,False,False,False,False
1153,112.tiff,MIDOG21,3137,1450,1948,AMF other,NMF metaphase,True,False,True,True
1154,112.tiff,MIDOG21,3143,5011,1935,NMF prometaphase,NMF prometaphase,False,False,False,False
1155,112.tiff,MIDOG21,3147,3161,2941,NMF prometaphase,NMF prometaphase,False,False,True,False
1156,112.tiff,MIDOG21,3157,686,3736,NMF metaphase,AMF segregation,False,True,False,False
1157,112.tiff,MIDOG21,3158,754,3287,NMF metaphase,NMF metaphase,False,False,False,False
1158,112.tiff,MIDOG21,3159,2225,3677,NMF prometaphase,AMF other,False,True,True,True
1159,112.tiff,MIDOG21,3162,3444,3637,NMF prometaphase,NMF prometaphase,False,False,False,False
1160,112.tiff,MIDOG21,3163,3600,3519,NMF metaphase,NMF metaphase,False,False,False,False
1161,112.tiff,MIDOG21,3165,5769,3723,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1162,112.tiff,MIDOG21,3167,4575,3479,NMF prometaphase,AMF other,False,True,True,True
1163,112.tiff,MIDOG21,3169,920,4369,NMF prometaphase,NMF prometaphase,False,False,False,False
1164,112.tiff,MIDOG21,3170,1203,4464,NMF metaphase,NMF metaphase,False,False,False,False
1165,112.tiff,MIDOG21,3173,4079,4491,NMF prometaphase,NMF prometaphase,False,False,False,False
1166,112.tiff,MIDOG21,3176,5417,4249,NMF prometaphase,AMF segregation,False,True,False,False
1167,112.tiff,MIDOG21,3177,5095,4013,NMF prometaphase,NMF metaphase,False,False,False,False
1168,112.tiff,MIDOG21,3179,5234,4256,NMF prometaphase,NMF prometaphase,False,False,True,False
1169,112.tiff,MIDOG21,3181,6206,4386,NMF metaphase,NMF metaphase,False,False,True,False
1170,112.tiff,MIDOG21,3182,5894,4171,NMF metaphase,NMF metaphase,False,False,False,False
1171,112.tiff,MIDOG21,3186,4790,4813,NMF prometaphase,NMF prometaphase,False,False,True,False
1172,112.tiff,MIDOG21,3191,3750,1864,NMF prometaphase,NMF prometaphase,False,False,False,False
1173,112.tiff,MIDOG21,3192,5295,4441,NMF metaphase,NMF metaphase,False,False,False,False
1174,113.tiff,MIDOG21,3199,5769,802,AMF segregation,AMF segregation,True,True,True,True
1175,113.tiff,MIDOG21,3201,2337,803,AMF other,AMF other,True,True,True,True
1176,113.tiff,MIDOG21,3203,84,2148,NMF prometaphase,AMF other,False,True,True,True
1177,113.tiff,MIDOG21,3204,6448,1912,NMF prometaphase,NMF anaphase-telophase,False,False,False,False
1178,113.tiff,MIDOG21,3206,5314,2749,NMF metaphase,NMF metaphase,False,False,False,False
1179,113.tiff,MIDOG21,3207,6206,3112,NMF prometaphase,NMF ring shape,False,False,False,False
1180,113.tiff,MIDOG21,3210,5286,3661,NMF metaphase,NMF metaphase,False,False,False,False
1181,113.tiff,MIDOG21,3211,5146,3438,NMF metaphase,NMF metaphase,False,False,False,False
1182,113.tiff,MIDOG21,3213,6100,3249,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1183,113.tiff,MIDOG21,3216,695,4187,NMF metaphase,NMF metaphase,False,False,False,False
1184,113.tiff,MIDOG21,3217,2731,4100,NMF metaphase,NMF metaphase,False,False,False,False
1185,113.tiff,MIDOG21,3219,3842,3981,AMF segregation,AMF segregation,True,True,True,True
1186,113.tiff,MIDOG21,3220,2630,57,NMF prometaphase,NMF metaphase,False,False,False,False
1187,113.tiff,MIDOG21,3222,4376,4155,AMF other,AMF segregation,True,True,True,True
1188,114.tiff,MIDOG21,3233,1394,764,NMF prometaphase,NMF prometaphase,False,False,False,False
1189,114.tiff,MIDOG21,3238,1638,1144,AMF other,AMF segregation,True,True,True,True
1190,114.tiff,MIDOG21,3240,1818,1978,NMF metaphase,NMF metaphase,False,False,False,False
1191,114.tiff,MIDOG21,3241,4020,1686,NMF prometaphase,NMF prometaphase,False,False,True,False
1192,114.tiff,MIDOG21,3242,4300,2211,AMF bipolar assymetric,NMF anaphase-telophase,True,False,True,True
1193,114.tiff,MIDOG21,3244,4760,1664,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1194,114.tiff,MIDOG21,3245,5697,2309,AMF multipolar,AMF multipolar,True,True,True,True
1195,114.tiff,MIDOG21,3246,3942,2475,NMF prometaphase,NMF prometaphase,False,False,False,False
1196,114.tiff,MIDOG21,3250,5356,2839,NMF prometaphase,NMF prometaphase,False,False,False,False
1197,114.tiff,MIDOG21,3251,5473,2691,NMF prometaphase,NMF metaphase,False,False,True,False
1198,114.tiff,MIDOG21,3253,2314,3349,NMF metaphase,AMF segregation,False,True,False,False
1199,114.tiff,MIDOG21,3254,1939,3238,AMF segregation,AMF segregation,True,True,True,True
1200,114.tiff,MIDOG21,3256,3798,3179,NMF prometaphase,NMF prometaphase,False,False,True,False
1201,114.tiff,MIDOG21,3259,6135,3794,NMF metaphase,NMF metaphase,False,False,False,False
1202,114.tiff,MIDOG21,3260,1342,4246,NMF anaphase-telophase,AMF bipolar assymetric,False,True,True,True
1203,114.tiff,MIDOG21,3261,2133,3947,AMF segregation,AMF bipolar assymetric,True,True,True,True
1204,114.tiff,MIDOG21,3262,2929,4587,NMF prometaphase,NMF prometaphase,False,False,True,False
1205,114.tiff,MIDOG21,3264,4100,4306,NMF ring shape,AMF other,False,True,True,True
1206,114.tiff,MIDOG21,3267,5497,4608,NMF metaphase,NMF metaphase,False,False,False,False
1207,114.tiff,MIDOG21,3268,5727,4346,NMF prometaphase,NMF prometaphase,False,False,False,False
1208,114.tiff,MIDOG21,3271,4746,2165,AMF other,NMF prometaphase,True,False,False,False
1209,114.tiff,MIDOG21,3272,679,3601,NMF prometaphase,NMF metaphase,False,False,False,False
1210,115.tiff,MIDOG21,3276,6162,542,NMF prometaphase,AMF segregation,False,True,True,True
1211,115.tiff,MIDOG21,3283,2479,4351,AMF bipolar assymetric,NMF metaphase,True,False,True,True
1212,116.tiff,MIDOG21,3290,2067,1399,NMF prometaphase,NMF prometaphase,False,False,False,False
1213,116.tiff,MIDOG21,3292,2995,1608,NMF metaphase,NMF metaphase,False,False,False,False
1214,116.tiff,MIDOG21,3293,6097,1786,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1215,116.tiff,MIDOG21,3295,1637,2886,NMF prometaphase,AMF segregation,False,True,True,True
1216,116.tiff,MIDOG21,3297,2814,3757,NMF prometaphase,NMF prometaphase,False,False,False,False
1217,116.tiff,MIDOG21,3299,3983,3382,NMF prometaphase,NMF prometaphase,False,False,False,False
1218,116.tiff,MIDOG21,3300,5530,4512,NMF metaphase,NMF metaphase,False,False,False,False
1219,116.tiff,MIDOG21,3301,4106,4684,NMF metaphase,NMF metaphase,False,False,False,False
1220,117.tiff,MIDOG21,3312,2928,53,NMF metaphase,NMF metaphase,False,False,False,False
1221,117.tiff,MIDOG21,3315,12,2108,NMF metaphase,NMF metaphase,False,False,False,False
1222,117.tiff,MIDOG21,3316,5954,2461,NMF prometaphase,NMF prometaphase,False,False,False,False
1223,117.tiff,MIDOG21,3318,822,4112,NMF metaphase,NMF prometaphase,False,False,False,False
1224,117.tiff,MIDOG21,3321,1451,1798,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1225,118.tiff,MIDOG21,3325,2967,99,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
1226,118.tiff,MIDOG21,3327,1046,1106,NMF metaphase,NMF metaphase,False,False,False,False
1227,118.tiff,MIDOG21,3328,3255,214,NMF metaphase,NMF metaphase,False,False,False,False
1228,118.tiff,MIDOG21,3330,5801,516,NMF anaphase-telophase,AMF segregation,False,True,False,False
1229,118.tiff,MIDOG21,3333,6060,982,AMF bipolar assymetric,AMF bipolar assymetric,True,True,True,True
1230,118.tiff,MIDOG21,3335,1780,1636,NMF prometaphase,NMF prometaphase,False,False,False,False
1231,118.tiff,MIDOG21,3337,224,2651,NMF prometaphase,NMF prometaphase,False,False,False,False
1232,118.tiff,MIDOG21,3339,4660,2516,NMF anaphase-telophase,NMF anaphase-telophase,False,False,False,False
